cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1868000,3.744,4.096,4.144,3.952,0.000,0.000
1870000,4.112,3.936,4.224,4.112,0.000,0.000
1872000,4.080,4.000,3.872,4.096,0.000,0.000
1874000,4.176,4.352,3.824,4.080,0.000,0.000
1876000,3.872,3.968,4.400,4.096,0.000,0.000
1878000,3.984,3.952,3.952,4.112,0.000,0.000
1880000,4.304,4.160,4.080,3.824,0.000,0.000
1882000,4.064,4.016,3.872,4.128,0.000,0.000
1884000,3.872,4.384,4.160,4.000,0.000,0.000
1886000,4.016,3.792,4.112,4.208,0.000,0.000
1888000,4.064,3.872,4.064,4.144,0.000,0.000
1890000,4.368,4.064,4.080,3.968,0.000,0.000
1892000,3.968,4.128,3.840,3.904,0.000,0.000
1894000,3.776,4.272,4.432,4.416,0.000,0.000
1896000,4.192,3.808,4.032,3.888,0.000,0.000
1898000,4.304,3.984,3.536,3.824,0.000,0.000
1900000,4.000,4.160,4.160,4.192,0.000,0.000
1902000,3.856,4.080,4.096,4.016,0.000,0.000
1904000,4.288,4.160,4.240,3.968,0.000,0.000
1906000,4.016,3.904,4.016,4.176,0.000,0.000
1908000,3.920,4.080,4.256,4.032,0.000,0.000
1910000,3.952,4.240,4.096,4.176,0.000,0.000
1912000,4.528,3.936,3.776,4.304,0.000,0.000
1914000,3.760,3.936,4.368,3.840,0.000,0.000
1916000,3.968,4.032,3.920,3.792,0.000,0.000
1918000,4.192,4.208,3.952,4.304,0.000,0.000
1920000,4.272,4.240,4.272,3.952,0.000,0.000
1922000,3.792,3.776,3.920,4.144,0.000,0.000
1924000,4.176,3.968,4.064,3.904,0.000,0.000
1926000,4.032,4.288,4.160,4.128,0.000,0.000
1928000,4.112,4.304,4.016,4.256,0.000,0.000
1930000,4.000,3.792,4.000,3.680,0.000,0.000
1932000,4.160,3.872,4.288,4.304,0.000,0.000
1934000,4.064,4.304,3.952,4.144,0.000,0.000
1936000,4.032,4.112,3.952,3.968,0.000,0.000
1938000,3.984,4.032,4.192,4.032,0.000,0.000
1940000,4.352,3.760,4.144,4.192,0.000,0.000
1942000,3.760,4.128,3.952,4.000,0.000,0.000
1944000,4.272,4.272,4.000,4.048,0.000,0.000
1946000,4.032,3.968,4.016,4.016,0.000,0.000
1948000,3.856,4.096,4.128,4.304,0.000,0.000
1950000,4.448,4.144,4.192,3.808,0.000,0.000
